,episode,contracting,reward,number_contracts,episode_steps,reward_a0,accumulated_transfer_a0,greedy_a0,reward_a1,accumulated_transfer_a1,greedy_a1
272,272,True,-0.06000000000000005,0,34,-0.52,0.99,0.0,0.45999999999999996,0.0,0.0
273,273,True,0.6199999999999999,0,6,-0.18,0.0,0.0,0.7999999999999999,0.0,0.0
274,274,True,4.260000000000001,0,26,-0.37000000000000005,0.0,0.0,4.630000000000001,0.0,0.0
275,275,True,4.640000000000001,0,16,0.5471171510219573,0.0,0.0,4.092882848978043,0.0,0.0
276,276,True,0.27999999999999986,0,28,0.6299999999999999,0.0,0.0,-0.35000000000000003,0.0,0.0
277,277,True,0.19999999999999996,0,20,0.59,0.0,0.0,-0.39,0.0,0.0
278,278,True,0.1399999999999999,0,32,0.5599999999999999,0.0,0.0,-0.42000000000000004,0.99,0.0
279,279,True,0.43999999999999995,0,38,-0.27,0.99,0.0,0.71,0.0,0.0
280,280,True,4.220000000000001,0,42,3.3903490161895755,0.0,0.0,0.8296509838104247,0.0,0.0
281,281,True,3.5400000000000005,0,54,-0.7300000000000001,0.0,0.0,4.2700000000000005,0.0,0.0
